Full,Stem,Index,Min,Max,Total,Keep,Root_Index
arrive,arriv,528,0,3,30,0,
heat,heat,529,0,43,1279,1,
pump,pump,530,0,9,141,1,
if,if,531,0,7,201,0,
wanting,want,532,0,9,240,0,
experience,experi,533,0,9,76,0,
cedar,cedar,534,0,11,261,1,
over,over,535,0,31,688,0,
are,ar,537,0,53,1566,0,
have,have,538,0,24,720,0,
north,north,539,0,18,400,1,
degrees,degre,542,0,3,52,1,
puget,puget,543,0,21,395,1,
olympic,olymp,544,0,25,649,1,
ll,ll,545,0,18,438,0,
after,after,546,0,23,418,0,
long,long,547,0,8,219,1,
day,dai,548,0,13,387,1,
gatewood,gatewood,549,0,5,71,1,
best,best,550,0,16,464,0,
advantage,advantag,552,0,5,91,0,
tons,ton,553,0,31,740,0,
estate,estat,554,0,7,173,1,
investors,investor,555,0,5,77,1,
first,first,556,0,13,381,1,
time,time,557,0,16,482,1,
buyers,buyer,558,0,13,307,1,
get,get,559,0,10,186,0,
already,alreadi,560,0,5,51,0,
but,but,561,0,17,441,0,
would,would,562,0,5,127,0,
not,not,563,0,25,358,0,
fixer,fixer,564,0,8,125,1,
could,could,565,0,22,413,0,
sold,sold,566,0,7,175,1,
priced,price,567,0,10,279,1,
shared,share,568,0,6,129,1,
driveway,drivewai,569,0,14,269,1,
spot,spot,570,0,7,172,1,
currently,current,571,0,7,207,0,
arbor,arbor,572,0,11,194,1,
heights,height,573,0,20,606,1,
sq,sq,575,0,28,669,1,670
what,what,576,0,8,195,0,
ve,ve,577,0,6,155,0,
been,been,578,0,33,1098,0,
bbq,bbq,579,0,20,424,1,
excellent,excel,580,0,20,489,0,
secure,secur,581,0,6,160,1,
gleaming,gleam,582,0,26,607,1,
reclaimed,reclaim,583,0,3,34,1,
upstairs,upstair,584,0,41,1359,1,
stand,stand,585,0,4,99,1,
alone,alon,586,0,3,38,1,
nook,nook,587,0,24,734,1,
cheerful,cheer,588,0,3,62,0,
massive,massiv,589,0,6,105,1,
versatile,versatil,590,0,5,92,0,
flat,flat,591,0,9,191,1,
green,green,592,0,32,892,1,
summer,summer,593,0,28,464,1,
darling,darl,594,0,7,143,1,
furnace,furnac,595,0,35,1144,1,
water,water,596,0,31,977,1,
heater,heater,597,0,15,453,1,
solar,solar,598,0,6,55,1,
tv,tv,599,0,4,81,1,
craft,craft,600,0,8,174,1,
there,there,601,0,21,682,0,
good,good,602,0,23,624,0,
vanity,vaniti,603,0,8,131,1,
adjacent,adjac,604,0,14,293,1,
galley,gallei,605,0,4,35,1,
breakfast,breakfast,606,0,17,475,1,
table,tabl,607,0,6,101,1,
steel,steel,608,0,23,683,1,
service,servic,609,0,8,157,1,
screened,screen,610,0,4,56,1,
plantings,plant,611,0,16,340,1,
converted,convert,612,0,7,138,1,
third,third,613,0,7,166,1,
easily,easili,614,0,9,149,0,
spa,spa,615,0,17,267,1,
era,era,616,0,6,136,1,
reflect,reflect,617,0,3,46,1,
standards,standard,618,0,2,47,0,
craftsmanship,craftsmanship,619,0,8,116,1,
allow,allow,620,0,9,231,0,
year,year,621,0,35,804,1,
everything,everyth,622,0,17,464,0,
done,done,623,0,7,139,0,
here,here,624,0,13,360,0,
sweet,sweet,625,0,20,443,1,
exposed,expos,626,0,4,117,1,
colors,color,627,0,13,365,1,
cooking,cook,628,0,18,495,1,
alley,allei,629,0,35,1134,1,
shrubs,shrub,630,0,2,29,1,
flowers,flower,631,0,6,128,1,
friendly,friendli,632,0,8,171,1,
brand,brand,633,0,17,409,0,
beyond,beyond,634,0,5,101,0,
fauntleroy,fauntleroi,635,0,5,92,1,
loads,load,636,0,11,335,0,
cable,cabl,637,0,2,31,1,
occupy,occupi,638,0,5,25,0,
condition,condit,639,0,11,416,0,
2baths,2bath,640,0,3,25,1,358
jetted,jet,641,0,8,233,1,
fp,fp,642,0,9,290,1,89
comfortable,comfort,643,0,23,442,1,
terrific,terrif,644,0,7,149,0,
den,den,645,0,34,885,1,
attached,attach,646,0,44,1077,1,
compliment,compliment,647,0,3,60,0,
contact,contact,648,0,6,55,0,
fantastic,fantast,650,0,22,567,0,
3bds,3bd,651,0,4,38,1,82
concept,concept,652,0,17,320,1,81
countertops,countertop,653,0,16,457,1,
espresso,espresso,654,0,4,57,1,
cabinets,cabinet,655,0,40,1367,1,
soft,soft,656,0,3,66,0,
trex,trex,657,0,4,85,1,
got,got,658,0,3,25,0,
hobby,hobbi,659,0,6,129,1,
shed,shed,660,0,18,439,1,
centers,center,661,0,14,372,1,
ba,ba,662,0,11,244,1,358
season,season,663,0,4,66,1,
dramatic,dramat,664,0,7,159,0,
airy,airi,665,0,7,149,1,
cabinetry,cabinetri,666,0,11,375,1,
overlooking,overlook,667,0,29,764,1,
3br,3br,668,0,6,68,0,82
1ba,1ba,669,0,5,49,0,358
sqft,sqft,670,0,10,187,1,
gar,gar,671,0,10,227,1,222
gated,gate,672,0,8,172,1,
drive,drive,673,0,10,180,1,
marvel,marvel,674,0,3,44,0,
miles,mile,675,0,7,113,1,
within,within,676,0,13,310,0,
bustling,bustl,677,0,4,52,1,
alki,alki,678,0,9,248,1,
beach,beach,679,0,44,933,1,
striking,strike,680,0,4,63,0,
abound,abound,681,0,9,175,0,
midcentury,midcenturi,682,0,3,28,1,
warm,warm,683,0,12,429,1,
bamboo,bamboo,684,0,10,244,1,
stained,stain,685,0,6,128,1,
spanning,span,686,0,8,46,1,
length,length,687,0,3,37,1,
sweeping,sweep,688,0,15,290,1,
elliott,elliott,689,0,4,62,1,
bay,bai,690,0,13,368,1,
only,onli,691,0,14,294,0,
cute,cute,692,0,11,297,1,
personality,person,693,0,8,202,0,
even,even,694,0,12,348,0,
future,futur,695,0,14,258,1,
add,add,696,0,20,415,0,
package,packag,697,0,6,114,1,
distance,distanc,698,0,18,450,1,
br,br,699,0,36,843,1,82
wonderfully,wonderfulli,700,0,6,90,0,
lr,lr,701,0,8,213,0,
coved,cove,702,0,19,621,1,
sewer,sewer,703,0,12,266,1,
c,c,704,0,16,221,0,
convenience,conveni,705,0,30,1006,1,
townhouse,townhous,706,0,3,32,1,
without,without,707,0,3,33,0,
walls,wall,708,0,25,779,1,
powder,powder,709,0,5,104,0,
both,both,710,0,17,512,0,
next,next,711,0,9,180,0,
perfectly,perfectli,712,0,8,217,0,
situated,situat,713,0,18,487,1,
other,other,714,0,10,292,0,
balcony,balconi,715,0,9,216,1,
vac,vac,716,0,2,27,1,1098
lawn,lawn,717,0,11,178,1,
into,into,718,0,30,717,0,
lovingly,lovingli,719,0,17,309,1,
staying,stai,720,0,11,149,0,
admiral,admir,721,0,10,239,1,
way,wai,722,0,9,193,1,
while,while,723,0,13,353,0,
soak,soak,724,0,9,235,1,
many,mani,725,0,29,776,0,
thumb,thumb,726,0,2,25,1,
rose,rose,727,0,4,47,1,
bushes,bush,728,0,3,27,1,
partial,partial,729,0,18,475,1,
expansive,expans,730,0,32,734,1,
tranquil,tranquil,731,0,13,232,1,
sanctuary,sanctuari,732,0,9,103,1,
host,host,733,0,8,97,1,
party,parti,734,0,13,224,1,
between,between,735,0,9,172,0,
stores,store,736,0,8,147,1,
downstairs,downstair,737,0,25,716,1,
options,option,738,0,12,177,0,
dual,dual,739,0,8,186,0,
controls,control,740,0,5,53,0,
smart,smart,741,0,5,107,1,
ultra,ultra,742,0,3,29,1,
entrance,entranc,743,0,22,426,1,
expands,expand,744,0,9,209,1,
sought,sought,745,0,19,360,0,
touches,touch,746,0,13,384,1,
wiring,wire,747,0,20,482,1,
insulation,insul,748,0,13,273,1,
hydronic,hydron,749,0,2,31,1,
boiler,boiler,750,0,3,30,1,
rv,rv,751,0,8,230,1,
dead,dead,752,0,11,284,0,
combination,combin,754,0,10,219,0,
those,those,755,0,6,118,0,
who,who,756,0,3,71,0,
coupled,coupl,757,0,4,68,0,
sensibilities,sensibl,758,0,3,34,0,
arched,arch,759,0,9,198,1,
doorways,doorwai,760,0,5,100,1,
high,high,761,0,60,1818,1,
elegantly,elegantli,762,0,3,41,1,
cherry,cherri,763,0,13,394,1,
almost,almost,764,0,5,121,0,
everywhere,everywher,765,0,6,64,0,
wireless,wireless,766,0,3,27,1,
architecturally,architectur,767,0,14,308,1,
stunning,stun,768,0,31,814,0,
cool,cool,769,0,14,245,1,
enclosed,enclos,770,0,7,139,0,
porch,porch,771,0,38,1020,1,
rare,rare,772,0,26,596,1,
en,en,773,0,12,184,0,
custom,custom,774,0,44,1404,1,
find,find,775,0,26,588,0,
another,anoth,776,0,9,235,0,
nursery,nurseri,777,0,8,86,1,
dressing,dress,778,0,3,52,0,
multiple,multipl,779,0,8,128,0,
lvg,lvg,781,0,4,26,1,46
inviting,invit,782,0,18,595,0,
splash,splash,783,0,7,102,0,
throw,throw,784,0,4,64,1,
fab,fab,785,0,5,55,1,
rear,rear,786,0,11,380,1,
appeal,appeal,787,0,9,235,1,
outside,outsid,788,0,14,356,1,
winter,winter,789,0,4,89,1,
chance,chanc,790,0,3,48,0,
delightful,delight,791,0,15,422,0,
reading,read,792,0,4,86,1,
beat,beat,793,0,4,39,1,
either,either,794,0,4,31,0,
deep,deep,795,0,4,108,1,
now,now,796,0,5,143,0,
prepare,prepar,797,0,4,46,0,
meals,meal,798,0,3,42,1,
looking,look,799,0,16,535,0,
found,found,800,0,4,68,0,
footage,footag,801,0,4,63,1,
ample,ampl,802,0,18,487,0,
waiting,wait,803,0,11,307,0,
paved,pave,804,0,5,116,1,
several,sever,805,0,7,90,0,
town,town,806,0,5,92,1,
larger,larger,807,0,4,100,0,
than,than,808,0,11,244,0,
usable,usabl,809,0,3,32,1,
farmhouse,farmhous,811,0,7,154,1,
