Full,Stem,Index,Min,Max,Total,Keep,Root_Index
ferry,ferri,570,0,7,117,1,
pool,pool,572,0,8,254,1,
hot,hot,573,0,25,710,0,
exudes,exud,575,0,5,60,0,
arrive,arriv,577,0,3,30,0,
heat,heat,579,0,43,1279,1,
pump,pump,580,0,9,141,1,
if,if,582,0,7,201,0,
wanting,want,583,0,9,240,0,
experience,experi,584,0,9,76,0,
cedar,cedar,586,0,11,261,1,
over,over,587,0,31,688,0,
are,ar,589,0,53,1566,0,
have,have,590,0,24,720,0,
north,north,592,0,18,400,1,
degrees,degre,596,0,3,52,1,
puget,puget,597,0,21,395,1,
olympic,olymp,598,0,25,649,1,
ll,ll,599,0,18,438,0,
after,after,600,0,23,418,0,
long,long,601,0,8,219,0,
day,dai,602,0,13,387,1,
gatewood,gatewood,603,0,5,71,1,
best,best,604,0,16,464,0,
advantage,advantag,606,0,5,91,0,
tons,ton,607,0,31,740,0,
estate,estat,608,0,7,173,1,
investors,investor,609,0,5,77,1,
first,first,610,0,13,381,0,
time,time,611,0,16,482,0,
buyers,buyer,612,0,13,307,1,
get,get,613,0,10,186,0,
already,alreadi,614,0,5,51,0,
but,but,615,0,17,441,0,
would,would,617,0,5,127,0,
not,not,618,0,25,358,0,
fixer,fixer,619,0,8,125,1,
could,could,620,0,22,413,0,
sold,sold,621,0,7,175,1,
priced,price,622,0,10,279,1,
shared,share,624,0,6,129,1,
driveway,drivewai,625,0,14,269,1,
spot,spot,626,0,7,172,1,
currently,current,627,0,7,207,0,
arbor,arbor,630,0,11,194,1,
heights,height,631,0,20,606,1,
sq,sq,633,0,28,669,1,670
what,what,634,0,8,195,0,
ve,ve,635,0,6,155,0,
been,been,636,0,33,1098,0,
bbq,bbq,638,0,20,424,1,
excellent,excel,640,0,20,489,0,
secure,secur,641,0,6,160,1,
gleaming,gleam,642,0,26,607,1,
reclaimed,reclaim,643,0,3,34,1,
upstairs,upstair,644,0,41,1359,0,
stand,stand,645,0,4,99,0,
alone,alon,646,0,3,38,0,
nook,nook,647,0,24,734,1,
cheerful,cheer,648,0,3,62,0,
massive,massiv,649,0,6,105,1,
versatile,versatil,650,0,5,92,0,
flat,flat,651,0,9,191,0,
green,green,652,0,32,892,1,
summer,summer,653,0,28,464,1,
darling,darl,654,0,7,143,0,
furnace,furnac,655,0,35,1144,1,
water,water,656,0,31,977,1,
heater,heater,657,0,15,453,1,
solar,solar,658,0,6,55,1,
tv,tv,660,0,4,81,1,
craft,craft,661,0,8,174,1,
there,there,663,0,21,682,0,
good,good,664,0,23,624,0,
vanity,vaniti,665,0,8,131,1,
adjacent,adjac,666,0,14,293,1,
galley,gallei,667,0,4,35,1,
breakfast,breakfast,668,0,17,475,1,
table,tabl,669,0,6,101,1,
steel,steel,670,0,23,683,1,344
service,servic,672,0,8,157,0,
screened,screen,673,0,4,56,1,
plantings,plant,674,0,16,340,1,
converted,convert,675,0,7,138,1,
third,third,676,0,7,166,0,
easily,easili,677,0,9,149,0,
spa,spa,678,0,17,267,1,
era,era,680,0,6,136,1,
reflect,reflect,681,0,3,46,0,
standards,standard,682,0,2,47,0,
craftsmanship,craftsmanship,683,0,8,116,1,
allow,allow,684,0,9,231,0,
year,year,685,0,35,804,1,
everything,everyth,686,0,17,464,0,
done,done,687,0,7,139,0,
here,here,688,0,13,360,0,
sweet,sweet,689,0,20,443,0,
exposed,expos,690,0,4,117,1,
colors,color,691,0,13,365,1,
cooking,cook,692,0,18,495,1,
alley,allei,693,0,35,1134,1,
shrubs,shrub,694,0,2,29,1,
flowers,flower,695,0,6,128,1,
friendly,friendli,696,0,8,171,1,
brand,brand,697,0,17,409,0,
beyond,beyond,698,0,5,101,0,
fauntleroy,fauntleroi,699,0,5,92,1,
loads,load,701,0,11,335,0,
cable,cabl,703,0,2,31,0,
occupy,occupi,705,0,5,25,0,
condition,condit,706,0,11,416,0,
